iata_code,name,latitude,longitude,elevation_ft,continent,country_code,region_code,city,airport_type,is_hub,region
SCW,Syktyvkar Airport,61.64699935913086,50.84510040283203,342.0,EU,RU,RU-KO,Syktyvkar,medium_airport,False,RU
SDD,Lubango Airport,-14.924699783325195,13.574999809265137,5778.0,AF,AO,AO-HUI,Lubango,medium_airport,False,AO
SDE,Vicecomodoro Angel D. La Paz Aragonés Airport,-27.765556335399996,-64.3099975586,656.0,SA,AR,AR-G,Santiago del Estero,medium_airport,False,AR
SDF,Louisville Muhammad Ali International Airport,38.1744,-85.736,501.0,,US,US-KY,Louisville,large_airport,False,US
SDG,Sanandaj Airport,35.24589920043945,47.00920104980469,4522.0,AS,IR,IR-12,,medium_airport,False,IR
SDJ,Sendai Airport,38.139702,140.917007,15.0,AS,JP,JP-04,Natori,large_airport,False,JP
SDK,Sandakan Airport,5.900899887084961,118.05899810791016,46.0,AS,MY,MY-12,Sandakan,medium_airport,False,MY
SDL,Sundsvall-Härnösand Airport,62.528099060058594,17.443899154663086,16.0,EU,SE,SE-Y,Sundsvall/ Härnösand,medium_airport,False,SE
SDP,Sand Point Airport,55.313908,-160.522099,21.0,,US,US-AK,Sand Point,medium_airport,False,US
SDQ,Las Américas International Airport,18.42970085144,-69.668899536133,59.0,,DO,DO-01,Santo Domingo,large_airport,False,DO
SDR,Seve Ballesteros-Santander Airport,43.427101,-3.82001,16.0,EU,ES,ES-CB,Santander,medium_airport,False,ES
SDS,Sado Airport,38.0601997375,138.414001465,88.0,AS,JP,JP-15,Sado,medium_airport,False,JP
SDU,Santos Dumont Airport,-22.9105,-43.163101,11.0,SA,BR,BR-RJ,Rio de Janeiro,medium_airport,False,BR
SDW,Sindhudurg Airport,16.0,73.533333,202.0,AS,IN,IN-MM,Sindhudurg,medium_airport,False,IN
SDY,Sidney - Richland Regional Airport,47.705141,-104.194422,1985.0,,US,US-MT,Sidney,medium_airport,False,US
SEA,Seattle–Tacoma International Airport,47.447943,-122.310276,433.0,,US,US-WA,Seattle,large_airport,False,US
SEB,Sabha Airport,26.992452,14.466162,1427.0,AF,LY,LY-SB,Sabha,medium_airport,False,LY
SEK,Srednekolymsk Airport,67.4805,153.7364,60.0,AS,RU,RU-SA,Srednekolymsk,medium_airport,False,RU
SEN,London Southend Airport,51.570562,0.693627,49.0,EU,GB,GB-ENG,"Southend-on-Sea, Essex",medium_airport,False,GB
SEZ,Seychelles International Airport,-4.67434,55.521801,10.0,AF,SC,SC-20,Mahe Island,large_airport,False,SC
SFA,Sfax Thyna International Airport,34.71799850463867,10.690999984741213,85.0,AF,TN,TN-61,Sfax,medium_airport,False,TN
SFB,Orlando Sanford International Airport,28.777599334716797,-81.23750305175781,55.0,,US,US-FL,Orlando,large_airport,False,US
