country,origin_airport,origin_name,origin_city,origin_type,origin_is_hub,destination_airport,destination_name,destination_city,destination_type,destination_is_hub,distance_km
US,TPA,Tampa International Airport,Tampa,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,3057.34
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,TUL,Tulsa International Airport,Tulsa,large_airport,False,1598.22
US,TUL,Tulsa International Airport,Tulsa,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,1598.22
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,large_airport,True,2234.73
US,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,large_airport,True,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2234.73
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,large_airport,True,1242.67
US,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,large_airport,True,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1242.67
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,JFK,John F Kennedy International Airport,New York,large_airport,True,2950.55
US,JFK,John F Kennedy International Airport,New York,large_airport,True,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,2950.55
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,LAX,Los Angeles International Airport,Los Angeles,large_airport,True,1053.18
US,LAX,Los Angeles International Airport,Los Angeles,large_airport,True,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1053.18
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,MIA,Miami International Airport,Miami,large_airport,True,3017.54
US,MIA,Miami International Airport,Miami,large_airport,True,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,3017.54
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,ORD,Chicago O'Hare International Airport,Chicago,large_airport,True,1766.62
US,ORD,Chicago O'Hare International Airport,Chicago,large_airport,True,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,1766.62
US,GJT,Grand Junction Regional Airport,Grand Junction,medium_airport,False,SFO,San Francisco International Airport,San Francisco,large_airport,True,1217.33
